SiteID,Street Num,Street Name,State,ZipCode,Unit,Site Name,Property_type
4375872637507,18498,Bell Keys,NY,60437,A,Walker-Jordan,residential
9343767903094,9771,Ryan Square,IA,28833,A,Mason-Hansen,commerical
2360657296439,219,Daniel Alley,WI,76971,A,"Smith, Perry and Matthews",commerical
8656059411056,01889,Megan Route,OH,50339,C,Torres-Johnson,residential
9961391628123,624,Hall Fields,MD,18194,B,"Johnson, Farrell and Vincent",commerical
3518343859782,10121,Lopez Summit,CT,17394,A,Braun Group,commerical
7336145947874,65833,Christopher Street,KY,68202,B,"Young, Tate and James",residential
4725557823525,069,Matthew Haven,HI,16516,B,Evans Group,commerical
3127450250698,679,Neal Flats,DC,40149,C,Smith Ltd,commerical
3719999020551,5628,Riggs Mount,VA,81297,A,Gonzalez Ltd,residential
7275185166411,7540,Johnston Landing,LA,88063,C,Jenkins and Sons,commerical
2847276860918,432,Pamela Avenue,WV,96317,B,Hogan-Black,residential
9765462993413,9718,Velez Rapid,TX,91687,A,Parker-Martin,commerical
4755276644224,44753,David Place,AZ,75149,B,Newton-Cobb,commerical
4280498754241,72366,Kristina Union,KY,04410,B,Robertson-Chavez,commerical
1231219469978,52843,Williams Grove,OR,33561,B,Hunt Group,commerical
2562790245095,7736,John Light,MD,62408,B,"Watson, Massey and Farmer",residential
2688835589617,084,Lisa Trafficway,DE,13209,C,"Rose, Stone and Garrett",commerical
5645359692114,814,Michael Circle,OR,45265,B,Hill-Kelly,residential
6924624148969,0147,Lisa View,WV,98808,B,"Turner, Wallace and Rivera",commerical
2305712810694,0381,Robinson Circle,MN,09920,B,"Perkins, Jones and Thomas",residential
2784686226265,00513,Martin Underpass,VA,32729,B,Brown-Smith,commerical
4864344510771,8706,Thomas Parkways,KY,45411,C,"Garcia, Thomas and Chavez",commerical
6543850930621,9296,Johnson Fields,MA,10796,C,Cain PLC,commerical
8177507049107,25179,Sanchez Landing,KS,81748,B,"Hamilton, Wilson and Marshall",residential
1802183548374,22038,Grant Ferry,AL,76504,A,Nunez Group,residential
5531423705050,539,Andrew Dale,MD,17816,B,"Gutierrez, Hart and Mckenzie",commerical
3240567248690,30099,Alexander Manor,KY,80593,A,Holt Inc,commerical
3422292768340,694,Richard Junction,IN,99793,B,Beck-Gibbs,commerical
0586393794974,1095,Alvarez Corners,OK,56375,A,Osborn Ltd,commerical
8559619078860,288,Owens Manor,MO,26420,A,"Campos, Cruz and Hurley",commerical
4346694648255,64733,Alexander Mountain,ND,84940,C,"Ryan, Small and Watson",residential
6783527908762,983,Tina View,MT,63804,C,Thomas-Meyer,residential
7264997550600,548,Daniel Point,MI,94068,A,Jennings-Martinez,residential
0652250916633,7754,Ewing Groves,NY,30859,A,Griffin-Chavez,residential
1565968076690,62148,Pittman Falls,GA,29901,A,"Rogers, Cole and Cruz",residential
1449581615187,801,Joan Knoll,IA,63084,B,"Gonzalez, Cruz and Harris",commerical
1077806718230,64799,Smith Throughway,CT,76431,C,"Silva, Avery and Berry",residential
5259068271517,677,Martin Overpass,KY,91641,B,"Sanders, Lynn and Simpson",residential
0326771712073,9332,Frost Views,ME,69505,A,Hodge Group,commerical
8639970395018,9999,Cynthia Lock,WI,76072,A,Lopez-Payne,residential
7078503702441,46340,Peters Loop,GA,46209,C,Allen and Sons,commerical
2300735425641,09231,Jonathan Oval,NY,22882,B,"Turner, Daniel and Reynolds",commerical
7346501432197,27623,Melissa Heights,TN,25389,C,"Gonzalez, Casey and Navarro",residential
6401017471243,1347,Marissa Path,MA,05085,B,"Bridges, Navarro and Nash",commerical
4356665622580,5674,Hector Camp,MN,32129,A,Hernandez-Beck,commerical
9858513969496,7261,Summer Ridges,KS,59379,B,"Marshall, Lozano and Oneal",residential
7997625794618,15676,Blevins Mountain,NC,85852,B,Navarro and Sons,commerical
4249938322778,3645,Snyder Unions,VT,11399,A,Martin Ltd,residential
5632163096252,283,Kelsey Pike,WV,23236,C,Jones LLC,commerical
3665658288339,1001,Blackwell Oval,KY,18426,C,Dean-Petersen,commerical
7433776801428,034,Joshua Spurs,IA,52402,C,Ryan-Webster,commerical
2928628356348,636,Lewis Walk,ID,06345,A,Cook-Sparks,residential
3714112608197,9184,Klein Springs,VA,07292,B,"Newton, Morales and Douglas",commerical
5174739078694,574,Williams Lodge,OR,81103,B,"Massey, Mejia and Johnson",residential
2483239800272,7777,Heather Summit,IA,06542,A,Olson-Phillips,residential
3599669473524,343,Walter Meadow,UT,31002,B,"Brown, Allen and Schultz",commerical
4896699093869,44747,Leslie Pass,NC,24953,A,Robertson LLC,commerical
7382168420887,13686,Sarah Land,OH,70813,B,Hill and Sons,residential
1478284739562,17488,Mitchell Via,WV,45234,A,Kennedy Ltd,commerical
2264315193538,71765,Bishop Plaza,WY,86514,A,"English, Williamson and Robinson",residential
5590137724160,0582,Rita Station,DE,26870,C,"Garrison, Wilson and Hicks",commerical
9406791218906,4787,Kyle Estates,NV,02610,A,Murphy-Ramos,commerical
9607234860311,299,Stafford Underpass,NY,14990,B,"Clark, Smith and Young",residential
3732139046259,9426,Rose Pike,VA,11106,C,Stanley-Martin,commerical
0075182152502,56548,Julie Circle,IA,62569,B,Carrillo Group,commerical
8923958750440,79812,Ramos Loop,OH,60126,A,Jenkins Group,commerical
8074261858412,083,Francisco Stravenue,AL,48613,C,Washington Group,residential
5966722895155,83368,Martinez Fields,NM,75819,B,Anderson Ltd,commerical
7742770509835,700,Brittany Cove,IL,18275,B,"Owens, Lee and Bailey",commerical
5325997862611,442,Jamie Flats,OR,46160,C,Mckinney and Sons,commerical
1456619969174,0217,Gregory Stravenue,KS,88804,A,Duncan-Lane,residential
1265615195292,569,Shirley Viaduct,WI,71255,A,"Harrington, Nguyen and Williams",commerical
6521022638933,6916,Angela Tunnel,NC,98632,B,Sanford PLC,commerical
1988066128670,90221,Brian Parkway,ND,08621,B,Calhoun LLC,commerical
8864154847728,29918,Carol Summit,CT,82158,C,"Bullock, Ellison and Schwartz",commerical
7743587145513,689,Travis Plaza,GA,89417,C,"Fernandez, Rivera and Johnson",residential
7086441838320,05193,Daniel Square,WA,26399,B,"Page, Pratt and Walter",residential
2825802907733,38896,Baker Villages,MO,75634,C,Long-Wagner,residential
3506839464855,72361,Robert Squares,RI,62175,B,Cunningham LLC,commerical
2220652716656,19434,Tanya Knolls,MN,33056,A,"Lewis, Dixon and Lawson",residential
0736539793600,35680,Suzanne Drive,PA,47618,C,"Smith, Wallace and Mills",commerical
3348170586946,8111,Stephanie Mount,HI,70337,B,Jones-Glenn,commerical
4646536961772,49066,Smith Knolls,AZ,28342,B,West Group,residential
0624493543259,37938,Lewis Spur,NJ,83979,B,Barnes-Simmons,residential
4484975428360,2129,Scott Port,MN,78016,B,"Jones, Schaefer and Taylor",commerical
8414840010761,0118,Martinez Plaza,LA,08144,C,"Ramirez, Espinoza and Andrade",commerical
5275438292593,630,Salazar Summit,FL,61914,A,Dixon Group,residential
2878186400871,556,Knight Place,NY,04624,A,Larsen-Maddox,commerical
4502206829547,17318,Joseph Fort,ID,84619,A,Buckley-Torres,residential
2600644213538,553,Richard Ranch,NH,21665,A,Hoover-Velazquez,residential
5252428698849,02227,Smith Pines,HI,32098,A,Nelson-Hubbard,commerical
7250113949144,9627,Jimenez Forges,MT,84855,B,Molina-Sutton,residential
7364614690532,264,William Camp,CA,36330,C,Woods-Adams,residential
7916314489017,772,Scott Spring,WI,74396,A,Smith PLC,commerical
4473339312216,0188,Amanda Knoll,ME,32188,C,Patrick-Rogers,commerical
5835389372524,82707,Lopez Ridges,MA,59064,B,Jordan-Brown,residential
9896505056052,49544,Higgins Manors,ID,58312,B,"Ramsey, Wilson and Watkins",commerical
6014370029909,72294,Kaitlyn Island,MD,53270,B,"Ward, Juarez and Sutton",residential
8612711829546,997,Hogan Spring,MT,76019,B,Nichols-Carroll,residential
2203337822743,165,Pamela Glens,VT,53696,C,Webb-Baker,commerical
1011694494791,472,Jacqueline Parkway,OH,59256,A,Clark-Daniels,residential
0693860657424,912,Joseph Lodge,MD,05307,A,Smith-Mejia,commerical
9176270516549,067,Elizabeth Village,CO,70760,C,Foster-Vargas,commerical
3275694329622,25369,Edwards Valleys,IA,36464,A,"Garcia, Shaffer and Dixon",residential
1390641320575,44001,Mariah Port,IA,79840,B,Clark LLC,commerical
3367309466157,8195,Ward Hollow,VT,03397,C,Jones and Sons,residential
0148594069260,494,Reynolds Wells,VT,40269,B,"Jackson, Ortiz and Grant",residential
9357633889450,182,William Ports,SD,79287,A,Ortiz-Mendoza,residential
8616206198094,604,Brittany Plain,VA,69379,B,Lopez-Beck,commerical
3707362030016,769,Jessica Trail,ND,85763,C,Hoffman-Miller,commerical
4587115805530,258,Schaefer Knolls,NC,39689,B,Roberts Ltd,commerical
0930881393567,6575,Miguel Summit,AK,84366,A,Webb Group,residential
9929563567656,37417,Michelle Cape,AZ,16180,B,Hall Group,commerical
8957148154756,64503,Kathleen Course,MD,57000,A,Khan Inc,commerical
9136051122031,99656,Carpenter Mission,OR,91630,B,"Morgan, Holmes and Jennings",residential
4500542131744,20068,Laura Springs,DE,52781,A,Scott-Hernandez,commerical
8923913778656,572,Robert Square,IA,13493,A,Clark PLC,residential
6199981085572,23958,Cameron Coves,OH,44958,A,Rangel-Parker,commerical
1917005199686,1951,Lee Drives,RI,53196,B,"Conley, Hernandez and Baldwin",residential
9957394552107,9350,Nelson Meadows,AR,66391,A,Miller-Tyler,commerical
0074393806273,39098,Kenneth Plaza,AK,46022,B,Wright Ltd,residential
9312986629078,0731,Kyle Cliff,AK,90390,C,Ayala Ltd,residential
0994838925232,563,Everett Walks,WI,05421,A,Heath-Fitzgerald,residential
1892842004990,24723,Garcia Lodge,TX,41615,B,Fuller-Cervantes,commerical
7844397849469,4029,Justin Springs,OK,73785,B,"White, Duncan and Davis",commerical
6192977282559,37565,Allen Fields,IA,13735,B,Leach LLC,residential
1913695145361,326,Patricia Lake,OK,19003,B,Johnson-Lee,residential
3812822716697,19303,Perez Shores,WV,81931,A,"Rogers, Charles and Turner",commerical
4779248040999,87847,Schultz Station,MO,59978,A,Kim PLC,commerical
9615223672036,0716,Mcmillan Pines,WA,79147,C,Reed PLC,residential
6113124878814,355,Alicia Courts,WI,29192,A,"Rose, Lynch and Smith",residential
3781394031494,8870,Henderson Plains,GA,69678,A,Mata-Henderson,residential
4161439302700,00842,Giles Extension,NM,31038,B,"Bryant, Bradley and Harris",residential
9938181727441,0949,Kimberly Circles,MI,71384,A,Ellis Inc,commerical
4203966961385,34543,Montes Squares,NH,26278,B,Rios-Bonilla,commerical
1623670155819,32173,Dawn Mountain,TX,36649,C,"Medina, Lewis and Duncan",residential
5793153237021,309,Mullins Road,LA,63195,A,"Anderson, Bennett and Rhodes",residential
8865231026845,721,Gomez Junctions,MS,47294,B,Aguilar Inc,commerical
7139244247636,413,Murphy Garden,AR,50684,A,Lucas Ltd,residential
5692992879716,4946,Wilson Fords,ME,11227,B,Hill Group,commerical
0215221158588,865,Garcia Lights,NY,78510,A,Taylor Inc,commerical
5565313266949,891,Jeffery Manor,MA,94223,B,"Jones, Pennington and Campos",commerical
4784887314158,4414,Mary Plains,NH,27794,A,Stephenson-Williams,commerical
5368976652360,5861,Torres Ways,CA,62529,B,Hill Inc,residential
1192075754564,58926,Robinson Courts,MD,68591,B,"Harris, Robles and Gray",residential
6264078927247,5953,Michael Cliffs,AR,38714,C,Hawkins and Sons,commerical
8000895359919,71157,Palmer Plaza,CO,00630,C,"Freeman, Wilson and Johnson",residential
7026045751670,99685,Gonzalez Keys,DC,87872,B,Peck-Roy,commerical
4698996866654,190,Williams Mountain,CT,27821,A,Lee-Hamilton,commerical
1959261525830,24076,Steven Estates,TX,13623,A,"Anderson, Knight and Wang",commerical
8377746266345,00247,Travis Brook,OH,57134,C,Reyes-Sparks,commerical
0231164730766,1966,William Trail,TN,80372,C,Washington and Sons,commerical
1091405961088,96379,Lee Curve,MO,62026,B,Palmer and Sons,commerical
2161428261430,06643,Clayton Place,NC,69679,B,"Hill, Smith and Burton",commerical
5444469793366,67067,Smith Drives,NE,05699,C,Gregory Inc,residential
5285811146924,37423,Lisa Freeway,OR,98014,B,"Ortega, Khan and Rodriguez",commerical
0003788773548,899,Davis Extension,VA,43921,C,"Burns, Johnson and Bowers",residential
4396389201920,8194,Henson Causeway,TX,23619,C,Griffith and Sons,commerical
9772463533333,95788,Matthew Extensions,VT,20950,B,Singleton Inc,residential
8668667713811,76765,Gutierrez Pines,NY,21862,B,Romero LLC,residential
5600490907909,5985,Lee Center,CO,42253,A,Harris PLC,commerical
3643598250098,42866,Melissa Underpass,MO,87883,C,Gray PLC,commerical
5514982100801,64063,Kevin Viaduct,NC,06139,C,Wong-Schwartz,commerical
9846705076466,32155,Kelley Camp,GA,36516,C,Camacho Ltd,residential
1025999995006,69600,Timothy Junctions,IL,05683,B,House-Wilkinson,commerical
7937850318722,895,Krystal Shores,IA,98132,B,Hall PLC,commerical
5077827106951,088,Kimberly Course,MD,80680,B,Gaines Ltd,residential
0604464656409,75790,Peter Hollow,FL,21038,C,"Hernandez, Brown and Preston",residential
0631921171953,37089,Lewis Motorway,MO,67425,C,Tyler-White,residential
7731326202962,590,Alan Orchard,CO,65026,A,Reed-Ayala,residential
1327263110505,623,Edward Divide,WY,84733,B,Green-Jones,residential
5075961736690,604,Zachary Tunnel,OR,56368,B,Luna-Reed,commerical
9684609141664,413,Davis Junction,WY,43579,C,Reynolds and Sons,commerical
4959168904872,7148,Owens Field,HI,65218,A,"Hernandez, Hines and Floyd",commerical
9015820673700,137,Hamilton Junction,HI,41236,C,"Hansen, Maldonado and Nelson",commerical
7282108804480,7585,Andrade Mission,IA,94507,B,Lozano PLC,residential
2460271111559,74225,Allison Plaza,IL,07032,B,Jackson-Berger,residential
0869682160163,826,Melinda Locks,CT,72482,C,Moore-Gardner,commerical
8736120667084,32497,Francis Lodge,VT,22678,A,Sanchez-Wallace,commerical
7344443284744,744,Clark Gardens,PA,85375,C,Whitehead-Mcintyre,commerical
8632888012701,98742,Deborah Field,PA,33466,B,Moran-Vargas,residential
5809517660326,1790,Brittney Estates,MO,79429,B,Graham PLC,commerical
0211135552252,09428,Kimberly Ferry,NM,77436,A,Calderon-Morales,commerical
9532598790823,33017,Dillon Club,RI,50315,A,Beltran-Hawkins,residential
1678593695911,791,Ashley Camp,OR,87479,A,"Hughes, Barnett and Barnett",commerical
0412278207799,568,Joseph Station,WA,30547,C,"Wilson, Long and Porter",residential
4673886329075,71950,Alexis Squares,KS,68851,B,"Bryant, Norton and Jackson",residential
3586899595928,39041,Sanders Cliff,ME,98002,C,Williams PLC,commerical
7379041247518,2909,Wyatt Station,NV,93674,C,Murray-Thompson,residential
4574456785249,081,Janet Courts,MI,40028,A,Hunter Group,residential
0921231620426,070,Lee Field,LA,56810,C,Garcia-Keller,residential
5059256914284,6404,Connor Port,WY,85172,B,"Reynolds, Miller and Page",residential
3221852797444,5461,Alexander Extensions,OR,59961,A,Cruz-Davis,commerical
5784332506007,8445,Chapman Haven,SD,04589,A,"Lopez, Juarez and Simmons",residential
0165400971449,304,Price Curve,FL,43378,B,Conley-Lewis,commerical
5477531727938,87359,Hernandez Common,KY,26187,C,Smith-Kennedy,residential
0779325355934,36063,Calderon Mission,IA,03384,A,"Thompson, Galvan and Santiago",commerical
4038601411266,6470,John Neck,OR,39597,A,Jones Ltd,residential
5481943940014,189,Hernandez Village,KS,81186,B,Long Group,residential
0700027495475,902,Hess Branch,IA,47724,A,Smith-Mendez,commerical
6163439421366,011,Fuentes Ways,NV,40843,C,"Nolan, Freeman and Stanley",residential
6535534985850,94218,Pierce Fork,MO,62294,B,Pham and Sons,commerical
9684459499717,887,Walker Branch,CO,47956,C,"Wright, Burke and Walsh",commerical
0058141701300,6788,Rollins Loop,ME,18798,B,Hill-Stewart,commerical
0069662893313,666,William Passage,PA,58564,A,Henry PLC,commerical
7757024782636,927,Green Overpass,NC,08681,B,Mckee Group,commerical
1664493489415,965,Wilson Isle,MN,53804,C,"Schwartz, Mathis and Miller",commerical
6074723167726,4760,Paul Trail,WY,03907,B,Brock-Gray,residential
2537005756000,375,Andre Knoll,NM,84997,C,Wyatt Group,residential
9684798460782,649,Jessica Camp,NE,36198,C,Moore Group,commerical
4375873569180,62216,Jason Glens,MI,16990,A,Rivera Group,commerical
8825490525329,9219,Black Points,DC,48543,C,"Perry, Stone and Foster",residential
7571384315811,0547,Nicole Glen,ME,03416,B,Vega-Smith,commerical
6167008619192,16978,Jeremy Vista,IL,51752,C,Merritt LLC,residential
3465154862176,297,Patricia Fort,OK,09500,A,"Morrison, Ritter and Freeman",residential
0681928914923,835,Turner Green,PA,35373,B,Boyd-Armstrong,residential
8483322984388,43605,Crawford Row,NE,25495,B,Reed-Barrett,commerical
8551085487139,6522,Wilkinson Glen,MO,79218,A,"Harris, Kim and Arroyo",commerical
6964802088915,2512,Walker Course,MD,22957,A,"Owens, Castillo and Bridges",residential
5588816807587,0233,Luna Prairie,VA,69836,C,Lane Ltd,residential
7268074470119,4318,George Track,MI,34244,C,West Inc,commerical
3102635414713,3997,White Lodge,OK,67069,C,Vazquez-Townsend,residential
8135638727134,962,Smith Way,OR,91194,C,"Watson, Reyes and Henderson",commerical
4706115858357,0801,Thomas Highway,SD,20068,A,Gross Inc,residential
4932735028089,2663,Chapman Spur,IN,61042,C,Mueller Group,commerical
2695616242531,1472,Janet Springs,ND,10270,C,Murillo Ltd,residential
5894327984892,49990,Cynthia Springs,CO,91388,A,"Miller, Johnson and Waller",residential
8357471994133,33106,Anderson Views,MT,05270,B,Solis-Khan,commerical
2683325416541,1496,Pamela Stravenue,MD,47183,A,Johnson Inc,residential
4815455376282,650,Laurie Lodge,IL,72958,A,"Martin, Rice and Berger",commerical
7921719029805,691,Donald Harbor,MS,21325,A,"Lamb, Luna and Hicks",residential
9260569996782,4757,Matthew Station,TN,21335,B,Davis-Lamb,commerical
1035469673501,7305,Sanford Valley,HI,19301,B,Hale-Johnson,residential
0146566609698,7339,Maria Plaza,IA,44676,C,"Dixon, Rivas and Barnes",residential
7951426132642,977,Wells Forks,IA,48660,C,"Smith, Fernandez and Brooks",residential
9607252621734,119,Renee Islands,MO,42421,B,Sampson-Martinez,commerical
1093749074721,57967,Lin Trafficway,RI,42860,C,"Smith, Jones and Richardson",residential
0882655953357,438,Ortiz Forest,NE,70333,C,Harris Group,residential
0642193220089,257,Gibson Summit,IN,32447,B,"Smith, Clark and Harris",residential
9750532722567,51490,Bradley Fort,PA,44602,A,"Williams, Werner and Robinson",commerical
6620272076783,0293,Daniel Mews,ND,07227,C,"Adkins, Woods and Duran",residential
0710313476200,0010,Sherry Wells,NC,93787,B,"Davis, Hoffman and Simpson",residential
1142025059607,668,Anthony Viaduct,MA,09815,C,Everett Ltd,commerical
5432594935287,358,Autumn Court,MA,25427,C,"Martinez, Ortega and Chambers",residential
8013504258572,680,Miranda Vista,FL,84730,A,Chavez-Escobar,residential
0014379075989,3632,Bailey Keys,TN,76419,B,Miller-Sanchez,commerical
7541582898928,18313,Katherine Square,NH,55312,A,Daniels-Hall,residential
1693385918535,619,Miller Groves,NM,20844,C,Montes-Rosario,residential
2013306725711,410,Alec Causeway,CO,87836,B,Wilson Group,residential
6615978075611,4381,Sherman Village,DE,69506,B,"Silva, Wood and Patel",residential
1102837748298,1114,Allison Heights,UT,33645,A,"Waller, Mitchell and Warren",residential
3306320162082,217,Mark Highway,KY,86276,C,"Clements, Vaughn and Moran",commerical
4920149532469,023,James Union,OK,76191,A,Ortiz-Smith,commerical
3728163503646,8996,Melody Groves,ME,75646,A,Gonzalez-Dixon,commerical
7118244286982,678,Martin Villages,IL,61634,C,"Huffman, Johnson and Reynolds",commerical
0047785686340,76731,Mitchell Mount,FL,45919,C,Hernandez-Wilson,residential
3833245935359,455,King Grove,NH,24962,C,Steele-Miller,commerical
4213932024938,25694,Austin Knoll,CT,66050,C,Rodriguez Ltd,residential
4292975073592,44151,Horne Avenue,UT,25155,B,Price-Smith,commerical
5567771560300,20431,Robert Trace,TN,23205,B,Moore-Kelly,residential
2773214801784,542,Joseph Crossing,NC,98033,A,Chapman Inc,residential
2725835650432,6819,William Center,CA,50888,C,Christensen and Sons,residential
8714215131177,1733,Cynthia Extensions,FL,71704,C,"Blair, Baker and Lawrence",commerical
0268232646407,01410,Jenkins Flat,NH,82642,A,Hall-Horton,residential
9929987961047,172,Kennedy Land,MO,66719,C,"Martin, Norris and Taylor",residential
6342343241257,9533,King Trace,OH,21237,A,Atkins PLC,residential
3498639876382,8737,Johnson Cliffs,TX,39145,A,"Brooks, Calderon and Perez",commerical
6761150701707,79149,Beasley Locks,MN,71486,C,"Smith, Johnson and Aguilar",residential
5181482636026,07831,Connie Keys,NE,99091,A,"Ellison, Campbell and Herman",residential
6316418833692,3802,Miles Ways,SC,73469,B,Fuller-Cruz,commerical
5112883319638,898,Jerome Oval,TX,32840,B,Wilson-Fowler,commerical
9683912089342,897,Davis Harbors,SC,34973,A,Franklin Ltd,commerical
5266533988290,11781,Nichols Overpass,RI,08098,C,Myers-Hughes,commerical
0038905636598,132,Stephanie Light,ME,71010,A,Richardson Group,residential
0066303798037,608,Perry Points,IA,04500,A,Booth PLC,residential
1503876778954,8406,Ashley Hills,NE,46247,A,"Brown, Nguyen and Gonzalez",residential
7044072509590,24416,Park Isle,NC,36901,B,Bennett-Thomas,residential
3730020299548,36554,Rivera Corners,WA,48258,A,Castillo-Price,commerical
9692154233147,31339,Lopez Expressway,TX,83598,A,Woods-Thompson,residential
2884946405833,5079,Newman View,SD,18392,C,Chambers and Sons,residential
3994135472757,918,Jared Harbor,KS,75477,B,"Pratt, Walker and Hartman",commerical
7694652611863,66680,Patricia Dam,IA,25861,B,Ramirez Ltd,residential
7517965065249,777,Patrick Oval,KY,60861,B,"Haley, Norris and Cruz",commerical
8666259658571,1986,Kristen Divide,MO,85321,A,Lin and Sons,residential
1711397658499,4514,Kaufman Pike,IA,65682,A,Brewer-Mills,residential
9090532940852,9001,Matthew Camp,NH,36416,C,Miles Ltd,commerical
7697908582900,8195,Sonia Extension,ND,37860,B,Walsh-Pittman,commerical
5763460064917,480,Gutierrez Hollow,IA,47223,A,Valdez and Sons,residential
4789554350873,28406,Jessica Spur,IL,95142,A,Watts Group,commerical
9852556923149,38933,Natalie Cliffs,TN,22247,C,Savage LLC,residential
6592005505528,91487,Robert Knolls,NC,29588,C,"Zamora, Silva and Walters",commerical
3775473097945,77540,Davidson Forest,SD,71801,B,Carter and Sons,residential
4968849925259,0073,Tamara Turnpike,VT,58933,A,Brown-Evans,residential
6303648310789,4535,Hamilton Square,IN,01708,A,Phillips and Sons,commerical
6667416720713,259,Daniel Trail,TN,81814,C,Payne LLC,commerical
2422565386555,91867,Jordan Wells,AR,86638,C,"Davis, Wilson and Wilson",commerical
1720892208290,7115,Moody Roads,AZ,49030,A,"Abbott, Stephens and Ball",commerical
2451867243419,6571,James Forks,OK,36140,A,Mercado-Bowman,residential
4322624742170,91796,Foster Roads,NC,74041,B,"Smith, Wheeler and Henry",residential
6464258330571,23313,Jackson Points,AK,56555,C,Mahoney PLC,commerical
6385501137948,04519,Kayla Heights,TN,18353,B,"Miller, Hale and Becker",commerical
2097723867711,90485,Martin Unions,NH,51414,A,Khan Inc,commerical
4547045844894,96764,Kelly Row,RI,62782,A,"Bruce, Gonzales and Estrada",residential
1149095917974,875,Amy Parkway,IL,91298,B,Webb-Palmer,commerical
3135888417668,1319,Vincent Lodge,MA,61759,C,"Andrews, Johnson and Price",residential
6426175504244,2236,Aaron Viaduct,OH,18914,B,Anderson and Sons,commerical
8118458498361,80031,Kristy Pines,WI,08338,B,Friedman-Johnson,residential
1174410549967,2462,Swanson Fords,AR,81632,A,Martin-Kelley,commerical
9460064598751,7288,Perez Rue,LA,65482,C,"Lopez, Williams and Torres",residential
3573561779991,1877,Parker Junctions,CA,77305,B,Anderson Inc,residential
6872769571831,6945,Tammy Trafficway,AK,40597,A,West-Morgan,commerical
5327170764583,6299,Trevor Pike,MD,68790,A,King Inc,residential
8718197391444,1010,Sanchez Spurs,GA,38289,C,Yang Group,commerical
4035695640794,48696,Bradley Fields,NY,20795,B,"Mcintyre, Rogers and Simmons",residential
8943542546273,04597,Steven Crossing,NM,11792,A,Williams LLC,residential
5545014299460,529,Sullivan Avenue,AL,69721,C,Guerra LLC,commerical
6578408233305,07625,Valerie Well,NV,99562,B,Jones Ltd,commerical
6128931045212,8178,Michael Squares,AL,40531,B,Madden-Smith,residential
4684122149357,97091,Andrew Course,CA,81705,B,Alvarez-Sanchez,residential
2929331458916,613,Sexton Terrace,UT,78112,A,Mosley Ltd,residential
0938197147652,00573,Andre Terrace,ID,31164,A,Miranda Inc,commerical
0508857997523,62692,Nicholas Fords,HI,19504,B,"Walker, Paul and Henry",commerical
